6521 Fillan;5056 Hitra;1 233;;1,16;;1 061
6522 Hestvika;5056 Hitra;286;;0,36;;794
6531 Hammarvika;5014 Frøya;539;;0,76;;709
6532 Sistranda;5014 Frøya;1 162;;1,27;;917
6541 Uthaug;5057 Ørland;352;;0,37;;940
6542 Opphaug;5057 Ørland;387;;0,42;;913
6543 Brekstad;5057 Ørland;2 381;;2,25;;1 056
6544 Ottersbo;5057 Ørland;408;;0,29;;1 425
6551 Selbekken;5059 Orkland;426;;0,49;;875
6561 Råkvågen;5054 Indre Fosen;211;;0,37;;568
6562 Rissa;5054 Indre Fosen;1 208;;0,87;;1 393
6563 Stadsbygd;5054 Indre Fosen;294;;0,37;;788
6565 Vangsåsen;5054 Indre Fosen;258;;0,18;;1 426
6571 Botngård;5057 Ørland;1 339;;1,22;;1 094
6572 Lysøysund;5057 Ørland;266;;0,35;;770
6573 Karlestrand;5057 Ørland;271;;0,19;;1 426
6581 Å I Åfjord;5058 Åfjord;1 302;;1,43;;913
6591 Oppdal;5021 Oppdal;4 390;;3,70;;1 186
6601 Berkåk;5022 Rennebu;959;;1,33;;719
6611 Løkken;5059 Orkland;1 255;;1,64;;764
6612 Storås;5059 Orkland;292;;0,41;;716
6613 Meldal;5059 Orkland;628;;0,80;;786
6621 Orkanger/Fannrem;5059 Orkland;8 890;;6,55;;1 358
6622 Svorkmo;5059 Orkland;302;;0,25;;1 186
6631 Røros;5025 Røros;3 836;;3,26;;1 178
6641 Støren;5027 Midtre Gauldal;2 306;;2,41;;957
6642 Soknedal;5027 Midtre Gauldal;282;;0,34;;826
6651 Melhus;5028 Melhus;6 957;;3,00;;2 323
6652 Kvål;5028 Melhus;437;;0,45;;976
6653 Ler;5028 Melhus;684;;0,45;;1 507
6654 Lundamo;5028 Melhus;1 114;;0,88;;1 264
6655 Hovin;5028 Melhus;796;;0,50;;1 602
6656 Korsvegen;5028 Melhus;594;;0,48;;1 241
6657 Storsand;5028 Melhus;471;;0,39;;1 218
6667 Eggkleiva;5029 Skaun;230;;0,18;;1 264
6668 Buvika/Ilhaugen;5029 Skaun;3 157;;1,47;;2 146
6669 Børsa;5029 Skaun;1 758;;1,12;;1 573
6670 Viggja;5029 Skaun;356;;0,22;;1 632
6671 Klæbu;5001 Trondheim;3 424;;1,44;;2 383
6672 Tanem;5001 Trondheim;1 295;;0,46;;2 787
6681 Malvik i alt;;7 150;;2,66;;2 684
;5031 Malvik;;6 382;;2,45;2 608
;5001 Trondheim;;768;;0,22;3 537
6682 Muruvik;5031 Malvik;452;;0,37;;1 215
6683 Hommelvik;5031 Malvik;5 800;;3,03;;1 911
6691 Mebonden;5032 Selbu;1 038;;1,22;;852
6692 Trøa;5032 Selbu;231;;0,23;;1 016
6731 Renbygda;5026 Holtålen;569;;0,83;;687
7001 Sparbu;5006 Steinkjer;606;;0,40;;1 512
7002 Mære;5006 Steinkjer;434;;0,35;;1 243
7003 Steinkjer;5006 Steinkjer;12 887;;8,17;;1 578
7006 Velde;5006 Steinkjer;470;;0,42;;1 123
